iter	RMSE
0	1.643662946
1	1.616801133
2	1.590705935
3	1.56669552
4	1.543660669
5	1.524027023
6	1.504087416
7	1.485822519
8	1.470284223
9	1.455609126
10	1.442437221
11	1.429963921
12	1.419451023
13	1.408717826
14	1.399432117
15	1.389619613
16	1.381145782
17	1.37307749
18	1.365848098
19	1.358428091
20	1.351842131
21	1.34581494
22	1.340626195
23	1.334114763
24	1.32925482
25	1.324690354
26	1.320917951
27	1.317170694
28	1.313410768
29	1.309063406
30	1.305176171
31	1.302119707
32	1.298557379
33	1.295773591
34	1.29353069
35	1.291119585
36	1.288152339
37	1.285685143
38	1.283485377
39	1.281253374
40	1.278946782
41	1.276348546
42	1.274821066
43	1.272770385
44	1.271400012
45	1.269627332
46	1.267494898
47	1.266202279
48	1.264888309
49	1.262979896
50	1.261695762
51	1.260232715
52	1.25923137
53	1.257490756
54	1.255913489
55	1.254485187
56	1.253350195
57	1.252071406
58	1.25137556
59	1.250720038
60	1.249979495
61	1.249135082
62	1.248235427
63	1.247561885
64	1.24627664
65	1.245467194
66	1.244537735
67	1.243882849
68	1.242614184
69	1.241217416
70	1.239613328
71	1.238647044
72	1.238106303
73	1.236814995
74	1.236047246
75	1.235211878
76	1.234556223
77	1.233250602
78	1.232332482
79	1.231163896
80	1.230530087
81	1.229352251
82	1.228469762
83	1.227464358
84	1.226149257
85	1.225474816
86	1.224309603
87	1.223633314
88	1.223154059
89	1.22272652
90	1.221462513
91	1.220536625
92	1.219944379
93	1.219312053
94	1.218720987
95	1.218345596
96	1.217693007
97	1.217006759
98	1.216049344
99	1.215555027
100	1.214871866
101	1.213833049
102	1.212973379
103	1.212606322
104	1.211508343
105	1.210979239
106	1.209950474
107	1.209427566
108	1.208438575
109	1.207519371
110	1.20674939
111	1.206331493
112	1.206164681
113	1.205793479
114	1.205349144
115	1.204414603
116	1.203554808
117	1.202911269
118	1.202362406
119	1.201737787
120	1.201340054
121	1.200837334
122	1.200140603
123	1.199611755
124	1.198670521
125	1.198171927
126	1.197687723
127	1.197189841
128	1.196537455
129	1.195775853
130	1.195465448
131	1.194713211
132	1.194376571
133	1.193872157
134	1.19351366
135	1.192986939
136	1.192541425
137	1.192085768
138	1.191409651
139	1.190798192
140	1.190400224
141	1.18959321
142	1.189093175
143	1.188823064
144	1.188346261
145	1.18803165
146	1.187406318
147	1.186636786
148	1.186233827
149	1.185747889
150	1.185308214
151	1.184666362
152	1.184090259
153	1.1837492
154	1.183246637
155	1.182752085
156	1.182325303
157	1.181891634
158	1.181535819
159	1.180697868
160	1.180185607
161	1.179779284
162	1.179130027
163	1.178570139
164	1.177940128
165	1.177665674
166	1.177061874
167	1.176423003
168	1.176069849
169	1.175443871
170	1.174729925
171	1.174127005
172	1.173727345
173	1.172699795
174	1.172289273
175	1.171768974
176	1.171210403
177	1.170712368
178	1.170360791
179	1.169790175
180	1.169316518
181	1.168880711
182	1.168242901
183	1.167592755
184	1.166907742
185	1.166683872
186	1.166106771
187	1.165311724
188	1.164647594
189	1.164264165
190	1.1639056
191	1.163392953
192	1.162867017
193	1.162193042
194	1.161681587
195	1.161548732
196	1.161148089
197	1.160632051
198	1.159890381
199	1.159462883
200	1.158904291
201	1.158804842
202	1.158371698
203	1.158029011
204	1.157381268
205	1.156923872
206	1.156429659
207	1.155939522
208	1.155727204
209	1.155122295
210	1.15484356
211	1.154630432
212	1.154218045
213	1.153600266
214	1.153304765
215	1.152871143
216	1.152302084
217	1.151786034
218	1.151272181
219	1.150908885
220	1.150424708
221	1.1500101
222	1.149401907
223	1.148965932
224	1.148428739
225	1.147944561
226	1.147408208
227	1.146884339
228	1.146582167
229	1.145926719
230	1.145471972
231	1.145113918
232	1.144595368
233	1.144110944
234	1.143417376
235	1.14277875
236	1.14240916
237	1.142016394
238	1.14170339
239	1.14129865
240	1.140960949
241	1.140482756
242	1.139785032
243	1.139225278
244	1.138791346
245	1.138223168
246	1.137634432
247	1.137290017
248	1.136718037
249	1.136443197
250	1.13574239
251	1.134852361
252	1.134487224
253	1.134172955
254	1.133779527
255	1.133170326
256	1.132839738
257	1.132313035
258	1.131756885
259	1.131661283
260	1.131186396
261	1.130592054
262	1.130214405
263	1.129994496
264	1.129577792
265	1.129287501
266	1.128923501
267	1.128208645
268	1.127438016
269	1.127153595
270	1.126866324
271	1.126328925
272	1.125697712
273	1.125322988
274	1.125030976
275	1.124614522
276	1.124323943
277	1.12387338
278	1.123486478
279	1.123001506
280	1.122719859
281	1.122039266
282	1.121873752
283	1.121397999
284	1.121030877
285	1.120491755
286	1.11998291
287	1.119429307
288	1.11913024
289	1.118732638
290	1.11819526
291	1.117858144
292	1.117576149
293	1.117482175
294	1.117244761
295	1.116980462
296	1.116548737
297	1.116521573
298	1.116295665
299	1.116048759
300	1.115441819
301	1.115176307
302	1.114689022
303	1.114410309
304	1.114061321
305	1.113521143
306	1.113148678
307	1.112516233
308	1.112383131
309	1.11198714
310	1.111466432
311	1.111156409
312	1.110690755
313	1.110341163
314	1.11013103
315	1.109877736
316	1.109534492
317	1.108946713
318	1.108700482
319	1.108565444
320	1.108123667
321	1.107705087
322	1.107412189
323	1.107036057
324	1.106807687
325	1.106247772
326	1.106087778
327	1.105754693
328	1.105161699
329	1.104804332
330	1.104513149
331	1.103899476
332	1.103628979
333	1.103351367
334	1.103059978
335	1.102744446
336	1.102199115
337	1.101728636
338	1.101324113
339	1.101055705
340	1.100755535
341	1.100470776
342	1.100127517
343	1.099836522
344	1.099366904
345	1.098895151
346	1.098468066
347	1.098256545
348	1.098009096
349	1.097817311
350	1.097325282
351	1.096803516
352	1.09643234
353	1.095995522
354	1.095399923
355	1.094962881
356	1.094719631
357	1.094529853
358	1.094123465
359	1.093856615
360	1.093593959
361	1.093195101
362	1.092881028
363	1.092696077
364	1.092401431
365	1.091877379
366	1.091625388
367	1.091340828
368	1.090957218
369	1.090643646
370	1.090487089
371	1.090252242
372	1.089887739
373	1.089405376
374	1.089118676
375	1.088827117
376	1.088211125
377	1.087982994
378	1.087404968
379	1.087006567
380	1.086733977
381	1.086543732
382	1.086135896
383	1.085858791
384	1.085472434
385	1.085050257
386	1.084697196
387	1.08431199
388	1.083891296
389	1.08354709
390	1.083152939
391	1.08283208
392	1.082519791
393	1.082217537
394	1.081858381
395	1.081311967
396	1.081035976
397	1.080750879
398	1.080313541
399	1.079892309
400	1.079405105
401	1.07912133
402	1.078656732
403	1.078319593
404	1.077846304
405	1.077535337
406	1.077254481
407	1.077092773
408	1.076744381
409	1.076412634
410	1.07607041
411	1.075782539
412	1.075623414
413	1.075403155
414	1.075263418
415	1.07506649
416	1.07477672
417	1.074601957
418	1.074212256
419	1.073794049
420	1.073478407
421	1.073046857
422	1.072724563
423	1.072254458
424	1.072143393
425	1.071908799
426	1.071604205
427	1.071273128
428	1.070998977
429	1.070735338
430	1.070548262
431	1.070343079
432	1.070162837
433	1.069796673
434	1.069566379
435	1.069322269
436	1.069069943
437	1.068747405
438	1.068550973
439	1.06830266
440	1.068123784
441	1.067910266
442	1.067628713
443	1.067085694
444	1.066797773
445	1.066505812
446	1.066259956
447	1.065739271
448	1.065436754
449	1.064826579
450	1.064404629
451	1.063968561
452	1.063767838
453	1.063611005
454	1.063100511
455	1.062925405
456	1.062578141
457	1.062301566
458	1.061759726
459	1.061227492
460	1.060900013
461	1.060673253
462	1.060397367
463	1.060213359
464	1.059908759
465	1.059497127
466	1.059030081
467	1.058807357
468	1.058386262
469	1.058231981
470	1.057718059
471	1.05750406
472	1.057195142
473	1.057041684
474	1.056747913
475	1.056362796
476	1.056038254
477	1.055836334
478	1.055450759
479	1.055259896
480	1.05483435
481	1.054703864
482	1.054411799
483	1.054265139
484	1.054076036
485	1.053840691
486	1.053538561
487	1.053260385
488	1.053011385
489	1.052581249
490	1.052428627
491	1.051845021
492	1.051638265
493	1.051322215
494	1.050876556
495	1.050706623
496	1.050358763
497	1.050200185
498	1.049875713
499	1.049573541
500	1.049116315
501	1.048878221
502	1.04857531
503	1.048399408
504	1.048059895
505	1.047809836
506	1.047463651
507	1.047182439
508	1.046939309
509	1.046600889
510	1.046283462
511	1.046082315
512	1.045522323
513	1.04533157
514	1.045070404
515	1.044716737
516	1.044529861
517	1.044183067
518	1.043808869
519	1.0436033
520	1.043221104
521	1.042955052
522	1.042743376
523	1.042393574
524	1.041999937
525	1.041661098
526	1.041263998
527	1.040990338
528	1.040649492
529	1.040467083
530	1.040197002
531	1.039998658
532	1.039703933
533	1.039516893
534	1.039384391
535	1.039114317
536	1.038826458
537	1.038527514
538	1.038211171
539	1.03800593
540	1.037714793
541	1.037449025
542	1.037346553
543	1.036965142
544	1.036595186
545	1.036329511
546	1.036065236
547	1.035697202
548	1.035380725
549	1.034918515
550	1.034654627
551	1.034333132
552	1.034034907
553	1.033622854
554	1.033451042
555	1.03322499
556	1.0328694
557	1.032737795
558	1.032563688
559	1.032156411
560	1.031957508
561	1.031748498
562	1.031596541
563	1.031112885
564	1.030884228
565	1.030710011
566	1.030331628
567	1.030164156
568	1.029740474
569	1.0293995
570	1.029208815
571	1.028862405
572	1.028638075
573	1.02846939
574	1.028320035
575	1.028077274
576	1.027824952
577	1.02756652
578	1.02735985
579	1.027212153
580	1.027033238
581	1.026687755
582	1.026403156
583	1.026188634
584	1.025851626
585	1.025525371
586	1.025239405
587	1.025119207
588	1.024884385
589	1.024706908
590	1.024527235
591	1.024362013
592	1.024026799
593	1.023796225
594	1.023397141
595	1.0231565
596	1.022742863
597	1.022513431
598	1.022405057
599	1.022227657
600	1.021790048
601	1.021453516
602	1.021245569
603	1.020956881
604	1.020738606
605	1.0206115
606	1.020341759
607	1.019970082
608	1.019744542
609	1.019371909
610	1.018949352
611	1.018719229
612	1.018319011
613	1.018127673
614	1.017768883
615	1.017331466
616	1.017095814
617	1.016765306
618	1.016603792
619	1.016299922
620	1.015944015
621	1.015733426
622	1.015584835
623	1.015458421
624	1.015104964
625	1.014747114
626	1.01448723
627	1.014367804
628	1.014239007
629	1.013996726
630	1.013706478
631	1.013357782
632	1.013221073
633	1.012882863
634	1.012550845
635	1.011991693
636	1.011745052
637	1.011502636
638	1.011146983
639	1.010916569
640	1.010805977
641	1.010535576
642	1.010235528
643	1.010014812
644	1.009875359
645	1.009485151
646	1.009222036
647	1.009055778
648	1.008861299
649	1.008551007
650	1.008393496
651	1.008169511
652	1.008012881
653	1.007828606
654	1.007483741
655	1.007281555
656	1.007020421
657	1.006718192
658	1.00649681
659	1.006281276
660	1.005990263
661	1.005752537
662	1.005655525
663	1.005277409
664	1.005039291
665	1.00467958
666	1.004255779
667	1.004060798
668	1.00390581
669	1.003694592
670	1.003379277
671	1.003116225
672	1.002800151
673	1.002533742
674	1.002247223
675	1.002018842
676	1.001725817
677	1.001489926
678	1.001262568
679	1.000994842
680	1.000804708
681	1.000607903
682	1.000374683
683	1.000068682
684	0.999870186
685	0.9996298234
686	0.9994644773
687	0.9991128143
688	0.9988581162
689	0.9985093834
690	0.9984658632
691	0.998347722
692	0.9980993514
693	0.9978184596
694	0.9976584163
695	0.997213169
696	0.9970238952
697	0.9969352541
698	0.9965857952
699	0.9964186871
700	0.9962934424
701	0.9960182439
702	0.9955269861
703	0.9953605003
704	0.9951483376
705	0.9949012467
706	0.9947049189
707	0.9944806265
708	0.9941569148
709	0.9937207099
710	0.9933471588
711	0.993073903
712	0.9928061814
713	0.9925367626
714	0.9922114634
715	0.9919869048
716	0.9918971266
717	0.9917139064
718	0.991434915
719	0.9910465605
720	0.9908329766
721	0.9904030967
722	0.9901685103
723	0.990059863
724	0.9897536401
725	0.9894962113
726	0.9893078522
727	0.9891671548
728	0.9888811051
729	0.9886112258
730	0.98825036
731	0.9879491081
732	0.9876197146
733	0.9873371248
734	0.9870048257
735	0.9867163456
736	0.9866103344
737	0.9864438412
738	0.9863100418
739	0.9860100413
740	0.9858132469
741	0.9856705219
742	0.9854274056
743	0.985174526
744	0.9850806354
745	0.9848878592
746	0.9844853003
747	0.984368182
748	0.9839817423
749	0.9837924503
750	0.983355929
751	0.9831534089
752	0.9828566272
753	0.982510083
754	0.9820479923
755	0.981790571
756	0.9816388545
757	0.9812490152
758	0.9810753066
759	0.9807746725
760	0.9804510033
761	0.9800896581
762	0.9798030709
763	0.9796023924
764	0.9793940167
765	0.9791217189
766	0.9787537535
767	0.9784077529
768	0.9782497444
769	0.9778874775
770	0.9777795002
771	0.9774439406
772	0.9771652166
773	0.9771091978
774	0.9768656348
775	0.9766866348
776	0.9765451374
777	0.9762847454
778	0.9760808489
779	0.9757845185
780	0.9755280002
781	0.9753869211
782	0.9752260846
783	0.9751248265
784	0.9749145479
785	0.974635334
786	0.9744429509
787	0.9741513401
788	0.9738674669
789	0.9735515355
790	0.973307827
791	0.9731081969
792	0.9729884863
793	0.9727383206
794	0.9724845767
795	0.9722079215
796	0.9720225589
797	0.9717916888
798	0.9715709473
799	0.9713104506
800	0.9710346544
801	0.9707053548
802	0.9704919751
803	0.9702566325
804	0.9699092342
805	0.969843585
806	0.9696131767
807	0.9693650716
808	0.9691223688
809	0.9689768213
810	0.9688578946
811	0.9683656173
812	0.9680958729
813	0.9679361133
814	0.9678240878
815	0.9676395404
816	0.9673252994
817	0.9670430131
818	0.966702564
819	0.9665767431
820	0.9662765636
821	0.9661156765
822	0.9659114748
823	0.9655907533
824	0.9651951157
825	0.9650769662
826	0.9647376161
827	0.9642930914
828	0.9639844201
829	0.9637069536
830	0.9635413531
831	0.9633713055
832	0.9631666232
833	0.9630368339
834	0.9628339937
835	0.9625221966
836	0.9623301225
