iter	Passed	Remaining
0	137	137016
1	139	69620
2	141	47091
3	143	35819
4	145	29049
5	148	24552
6	150	21333
7	152	18946
8	155	17089
9	157	15610
10	160	14393
11	162	13377
12	164	12514
13	167	11768
14	169	11136
15	172	10584
16	174	10097
17	176	9649
18	179	9255
19	181	8893
20	183	8577
21	186	8289
22	188	8025
23	191	7786
24	194	7579
25	196	7369
26	199	7182
27	201	7000
28	204	6835
29	206	6678
30	209	6537
31	211	6404
32	214	6278
33	216	6160
34	219	6048
35	222	5946
36	224	5846
37	227	5750
38	229	5661
39	232	5582
40	235	5502
41	237	5427
42	240	5353
43	243	5281
44	245	5215
45	248	5151
46	251	5095
47	253	5037
48	256	4982
49	259	4922
50	261	4866
51	264	4816
52	266	4768
53	269	4717
54	271	4669
55	274	4621
56	276	4576
57	279	4533
58	281	4491
59	284	4450
60	286	4410
61	288	4371
62	291	4337
63	294	4304
64	296	4267
65	299	4233
66	301	4202
67	304	4167
68	306	4134
69	309	4105
70	311	4082
71	314	4052
72	316	4021
73	319	3992
74	321	3962
75	323	3934
76	326	3909
77	328	3882
78	330	3858
79	333	3832
80	335	3807
81	338	3785
82	340	3764
83	343	3748
84	346	3727
85	348	3706
86	351	3685
87	353	3665
88	356	3645
89	358	3628
90	361	3611
91	364	3592
92	366	3572
93	368	3552
94	371	3534
95	373	3516
96	384	3583
97	387	3564
98	389	3548
99	392	3531
100	395	3516
101	397	3501
102	400	3488
103	403	3472
104	405	3458
105	408	3442
106	410	3429
107	413	3413
108	416	3400
109	418	3386
110	421	3372
111	423	3359
112	426	3344
113	428	3330
114	430	3315
115	433	3301
116	435	3287
117	437	3272
118	440	3258
119	442	3246
120	444	3231
121	447	3217
122	449	3203
123	451	3190
124	453	3177
125	456	3165
126	458	3153
127	461	3143
128	463	3131
129	466	3121
130	468	3110
131	471	3100
132	474	3089
133	476	3078
134	478	3066
135	480	3054
136	483	3042
137	485	3032
138	487	3022
139	490	3011
140	492	3000
141	494	2990
142	497	2979
143	499	2967
144	501	2956
145	503	2946
146	505	2935
147	508	2924
148	510	2913
149	512	2902
150	514	2891
151	516	2882
152	519	2874
153	521	2866
154	524	2857
155	526	2848
156	528	2838
157	531	2830
158	533	2822
159	536	2816
160	538	2808
161	541	2798
162	543	2789
163	545	2780
164	547	2772
165	550	2764
166	552	2755
167	554	2746
168	556	2738
169	559	2729
170	561	2720
171	563	2711
172	565	2704
173	567	2696
174	570	2687
175	572	2678
176	574	2669
177	576	2661
178	578	2652
179	580	2645
180	582	2637
181	585	2629
182	587	2622
183	589	2615
184	592	2608
185	594	2601
186	596	2594
187	598	2587
188	601	2579
189	603	2571
190	605	2564
191	607	2556
192	609	2549
193	611	2542
194	614	2535
195	616	2529
196	618	2522
197	621	2515
198	623	2509
199	625	2502
200	627	2495
201	629	2488
202	632	2481
203	634	2474
204	636	2467
205	638	2460
206	640	2453
207	642	2447
208	644	2441
209	647	2435
210	649	2428
211	651	2422
212	653	2415
213	655	2409
214	658	2402
215	660	2396
216	662	2390
217	664	2384
218	666	2378
219	669	2372
220	671	2366
221	673	2360
222	675	2354
223	677	2348
224	680	2343
225	682	2338
226	685	2333
227	687	2327
228	689	2321
229	691	2315
230	693	2309
231	696	2304
232	698	2298
233	700	2292
234	702	2287
235	704	2282
236	707	2276
237	709	2270
238	711	2265
239	713	2259
240	715	2254
241	717	2248
242	720	2243
243	722	2238
244	724	2232
245	726	2227
246	729	2222
247	731	2216
248	733	2212
249	735	2206
250	737	2201
251	739	2196
252	742	2191
253	744	2186
254	746	2181
255	748	2176
256	751	2171
257	753	2165
258	755	2160
259	757	2155
260	759	2150
261	761	2146
262	764	2141
263	766	2136
264	768	2131
265	770	2126
266	772	2121
267	775	2117
268	777	2113
269	780	2109
270	782	2104
271	784	2100
272	787	2095
273	789	2091
274	791	2087
275	794	2083
276	796	2079
277	798	2074
278	801	2070
279	803	2066
280	806	2063
281	809	2060
282	811	2056
283	814	2052
284	816	2048
285	818	2044
286	821	2040
287	823	2035
288	825	2032
289	828	2027
290	830	2023
291	832	2018
292	834	2014
293	836	2009
294	838	2004
295	841	2000
296	843	1995
297	844	1990
298	846	1985
299	849	1981
300	851	1978
301	854	1974
302	856	1970
303	859	1967
304	861	1963
305	864	1960
306	867	1957
307	869	1954
308	872	1950
309	874	1947
310	877	1944
311	880	1941
312	882	1937
313	885	1933
314	887	1930
315	890	1926
316	892	1923
317	895	1920
318	898	1917
319	900	1913
320	902	1910
321	905	1906
322	908	1903
323	910	1900
324	913	1896
325	915	1893
326	918	1889
327	920	1886
328	923	1882
329	925	1879
330	928	1876
331	931	1873
332	933	1870
333	936	1866
334	938	1863
335	941	1860
336	944	1857
337	946	1853
338	949	1850
339	951	1847
340	954	1844
341	956	1840
342	959	1837
343	961	1834
344	964	1830
345	966	1827
346	969	1824
347	972	1821
348	974	1817
349	977	1814
350	979	1811
351	982	1808
352	985	1805
353	987	1802
354	990	1799
355	993	1796
356	995	1793
357	998	1789
358	1000	1786
359	1003	1784
360	1006	1780
361	1008	1777
362	1010	1773
363	1012	1769
364	1014	1765
365	1017	1762
366	1019	1759
367	1022	1755
368	1024	1752
369	1027	1748
370	1029	1745
371	1032	1742
372	1034	1739
373	1037	1736
374	1039	1732
375	1042	1729
376	1044	1726
377	1046	1722
378	1049	1719
379	1051	1716
380	1054	1712
381	1056	1709
382	1058	1705
383	1061	1702
384	1063	1699
385	1066	1696
386	1069	1693
387	1071	1690
388	1073	1686
389	1075	1682
390	1078	1679
391	1080	1675
392	1083	1672
393	1085	1669
394	1087	1666
395	1089	1662
396	1092	1658
397	1094	1655
398	1096	1652
399	1099	1649
400	1101	1645
401	1104	1642
402	1106	1639
403	1110	1637
404	1113	1635
405	1115	1632
406	1118	1629
407	1120	1626
408	1123	1623
409	1126	1620
410	1128	1617
411	1131	1614
412	1133	1611
413	1135	1607
414	1139	1605
415	1141	1602
416	1143	1599
417	1146	1596
418	1149	1594
419	1152	1592
420	1155	1589
421	1158	1586
422	1161	1584
423	1164	1582
424	1167	1579
425	1170	1576
426	1173	1574
427	1176	1571
428	1178	1569
429	1181	1566
430	1184	1564
431	1187	1561
432	1190	1558
433	1193	1556
434	1196	1554
435	1199	1552
436	1202	1549
437	1205	1546
438	1212	1548
439	1214	1546
440	1218	1544
441	1221	1541
442	1224	1539
443	1226	1536
444	1229	1533
445	1233	1531
446	1236	1529
447	1239	1526
448	1242	1524
449	1245	1522
450	1248	1519
451	1251	1517
452	1254	1514
453	1257	1512
454	1260	1509
455	1263	1507
456	1266	1504
457	1268	1501
458	1271	1499
459	1274	1496
460	1277	1493
461	1280	1490
462	1283	1488
463	1285	1485
464	1288	1482
465	1291	1479
466	1294	1477
467	1296	1474
468	1299	1471
469	1302	1468
470	1305	1465
471	1307	1462
472	1310	1459
473	1312	1456
474	1315	1453
475	1317	1450
476	1320	1448
477	1322	1444
478	1325	1441
479	1327	1437
480	1329	1434
481	1331	1430
482	1333	1427
483	1335	1424
484	1338	1420
485	1340	1417
486	1342	1414
487	1344	1410
488	1346	1407
489	1348	1403
490	1351	1400
491	1353	1397
492	1355	1394
493	1358	1391
494	1360	1387
495	1362	1384
496	1365	1381
497	1367	1378
498	1369	1375
499	1372	1372
500	1374	1368
501	1376	1365
502	1378	1362
503	1380	1358
504	1383	1355
505	1385	1352
506	1387	1349
507	1389	1345
508	1391	1342
509	1394	1339
510	1396	1336
511	1398	1332
512	1400	1329
513	1403	1326
514	1405	1323
515	1407	1320
516	1410	1317
517	1412	1314
518	1415	1311
519	1417	1308
520	1419	1305
521	1422	1302
522	1424	1298
523	1426	1295
524	1428	1292
525	1430	1289
526	1433	1286
527	1435	1283
528	1437	1280
529	1439	1276
530	1442	1273
531	1444	1270
532	1446	1267
533	1448	1264
534	1451	1261
535	1453	1258
536	1455	1255
537	1458	1252
538	1460	1249
539	1463	1246
540	1465	1243
541	1467	1240
542	1469	1237
543	1471	1233
544	1474	1230
545	1476	1227
546	1478	1224
547	1480	1221
548	1483	1218
549	1485	1215
550	1487	1212
551	1489	1208
552	1491	1205
553	1493	1202
554	1495	1199
555	1498	1196
556	1500	1193
557	1502	1190
558	1504	1187
559	1507	1184
560	1509	1181
561	1511	1178
562	1514	1175
563	1516	1172
564	1519	1169
565	1522	1167
566	1524	1164
567	1527	1161
568	1530	1159
569	1533	1156
570	1535	1153
571	1537	1150
572	1540	1147
573	1543	1145
574	1546	1142
575	1548	1140
576	1551	1137
577	1553	1134
578	1556	1131
579	1559	1129
580	1562	1126
581	1565	1124
582	1568	1122
583	1571	1119
584	1574	1117
585	1578	1114
586	1581	1112
587	1584	1110
588	1588	1108
589	1590	1105
590	1594	1103
591	1597	1101
592	1600	1098
593	1603	1096
594	1606	1093
595	1609	1091
596	1612	1088
597	1615	1085
598	1619	1083
599	1622	1081
600	1625	1079
601	1628	1076
602	1631	1074
603	1634	1071
604	1637	1069
605	1640	1066
606	1643	1063
607	1645	1061
608	1648	1058
609	1651	1056
610	1654	1053
611	1657	1050
612	1660	1048
613	1663	1045
614	1665	1042
615	1668	1040
616	1671	1037
617	1674	1034
618	1676	1031
619	1678	1029
620	1681	1026
621	1684	1023
622	1686	1020
623	1689	1018
624	1692	1015
625	1694	1012
626	1697	1009
627	1699	1006
628	1702	1004
629	1705	1001
630	1707	998
631	1710	995
632	1712	992
633	1714	989
634	1716	986
635	1719	983
636	1721	980
637	1723	977
638	1725	974
639	1727	971
640	1730	968
641	1732	965
642	1734	963
643	1737	960
644	1739	957
645	1741	954
646	1743	951
647	1745	948
648	1748	945
649	1750	942
650	1752	939
651	1755	936
652	1757	933
653	1759	930
654	1761	927
655	1763	924
656	1765	921
657	1768	919
658	1770	916
659	1773	913
660	1775	910
661	1777	907
662	1779	904
663	1782	901
664	1785	899
665	1787	896
666	1789	893
667	1791	890
668	1793	887
669	1796	884
670	1798	881
671	1800	878
672	1803	876
673	1805	873
674	1808	870
675	1810	867
676	1812	864
677	1815	862
678	1817	859
679	1819	856
680	1821	853
681	1824	850
682	1826	847
683	1828	844
684	1830	841
685	1833	839
686	1835	836
687	1837	833
688	1839	830
689	1841	827
690	1843	824
691	1846	821
692	1848	818
693	1850	816
694	1852	813
695	1855	810
696	1857	807
697	1859	804
698	1861	801
699	1863	798
700	1866	795
701	1868	793
702	1870	790
703	1872	787
704	1874	784
705	1876	781
706	1879	778
707	1881	776
708	1884	773
709	1886	770
710	1888	767
711	1890	764
712	1893	762
713	1895	759
714	1897	756
715	1899	753
716	1901	750
717	1903	747
718	1906	744
719	1908	742
720	1910	739
721	1913	736
722	1915	733
723	1917	731
724	1920	728
725	1922	725
726	1924	722
727	1926	719
728	1929	717
729	1931	714
730	1933	711
731	1935	708
732	1937	705
733	1940	703
734	1942	700
735	1944	697
736	1947	694
737	1949	692
738	1951	689
739	1953	686
740	1956	683
741	1958	680
742	1960	678
743	1962	675
744	1965	672
745	1967	669
746	1969	667
747	1971	664
748	1973	661
749	1976	658
750	1979	656
751	1981	653
752	1984	650
753	1986	648
754	1988	645
755	1991	642
756	1993	639
757	1995	637
758	1998	634
759	2000	631
760	2002	628
761	2005	626
762	2007	623
763	2009	620
764	2011	618
765	2014	615
766	2016	612
767	2018	609
768	2020	607
769	2023	604
770	2025	601
771	2027	598
772	2029	596
773	2032	593
774	2034	590
775	2036	587
776	2038	585
777	2041	582
778	2044	579
779	2046	577
780	2049	574
781	2051	571
782	2054	569
783	2057	566
784	2059	564
785	2062	561
786	2065	558
787	2067	556
788	2070	553
789	2073	551
790	2075	548
791	2078	545
792	2080	543
793	2083	540
794	2086	537
795	2088	535
796	2091	532
797	2094	530
798	2097	527
799	2100	525
800	2102	522
801	2105	519
802	2107	517
803	2110	514
804	2112	511
805	2115	509
806	2118	506
807	2121	504
808	2123	501
809	2126	498
810	2129	496
811	2131	493
812	2134	490
813	2137	488
814	2139	485
815	2142	483
816	2144	480
817	2147	477
818	2150	475
819	2152	472
820	2155	469
821	2157	467
822	2160	464
823	2162	461
824	2165	459
825	2168	456
826	2170	454
827	2173	451
828	2176	448
829	2179	446
830	2182	443
831	2184	441
832	2187	438
833	2189	435
834	2192	433
835	2194	430
836	2197	427
837	2199	425
838	2202	422
839	2204	419
840	2206	417
841	2209	414
842	2211	411
843	2213	409
844	2215	406
845	2218	403
846	2220	401
847	2222	398
848	2224	395
849	2227	393
850	2229	390
851	2231	387
852	2233	384
853	2236	382
854	2238	379
855	2240	376
856	2242	374
857	2244	371
858	2247	368
859	2249	366
860	2251	363
861	2253	360
862	2255	358
863	2258	355
864	2260	352
865	2262	350
866	2264	347
867	2267	344
868	2269	342
869	2271	339
870	2274	336
871	2276	334
872	2278	331
873	2280	328
874	2283	326
875	2285	323
876	2287	320
877	2289	318
878	2291	315
879	2293	312
880	2295	310
881	2298	307
882	2300	304
883	2302	302
884	2304	299
885	2306	296
886	2308	294
887	2311	291
888	2313	288
889	2315	286
890	2317	283
891	2319	280
892	2321	278
893	2324	275
894	2326	272
895	2328	270
896	2330	267
897	2333	264
898	2335	262
899	2337	259
900	2339	257
901	2341	254
902	2343	251
903	2346	249
904	2348	246
905	2350	243
906	2352	241
907	2355	238
908	2357	235
909	2359	233
910	2362	230
911	2365	228
912	2367	225
913	2369	222
914	2372	220
915	2375	217
